t,A,B,C,D
TOTAL,-6117.932029422402,0.0,-159577.90787411528,175.4958521010315
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,2.1947268243669815
6,0.0,-0.0,-0.0,2.1947268243669815
7,0.0,-0.0,-0.0,2.1947268243669815
8,0.0,-0.0,-0.0,2.1947268243669815
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-0.0,-15124.6365,8.246009036774268
13,0.0,-0.0,-15116.514000000001,7.928165104074678
14,0.0,-0.0,-15096.478500000001,7.455259093726201
15,0.0,-0.0,-15086.19,7.207013054058487
16,0.0,-0.0,-14991.4275,6.780818194229907
17,0.0,-0.0,-15007.6725,6.623101408772973
18,0.0,-0.0,-7549.472293139119,3.381073217845893
19,0.0,-0.0,-7546.396696115878,3.223292629339112
20,0.0,-0.0,-7543.041499363251,3.241712473116698
21,0.0,-0.0,-7544.439498010179,3.099516615312381
22,0.0,-0.0,-7533.535108564142,2.9573207575080644
23,0.0,-0.0,-7520.673521012407,2.815124899703748
24,0.0,-0.0,-2443.300127481882,1.1907396942247908
25,441.5235939779014,-0.0,-2411.360732033835,1.143857209819511
26,73.87597719326203,-0.0,-2493.8178166965226,5.521682203456067
27,78.74459460141307,-0.0,-2499.671251718874,5.521682203456067
28,79.37963165464848,-0.0,-2500.4347432435284,5.521682203456067
29,0.0,-0.0,-2504.6339466291283,5.521682203456067
30,437.19708199046966,-0.0,-824.8418119809353,5.521682203456067
31,0.0,-0.0,-827.2741195076641,5.521682203456067
32,77.45511153056113,-0.0,-826.0579657442996,5.521682203456067
33,51.87758402886464,-0.0,-841.8679646680373,5.521682203456067
34,61.22229275829802,-0.0,-853.1029089581659,5.521682203456067
35,0.0,-0.0,-866.3068641032655,5.521682203456067
36,-3935.6974162287856,-0.0,-445.6333202099069,9.58054585931443
37,-3961.4545982721684,-0.0,-445.8968838012305,10.376106895305345
38,-3788.393088409044,-0.0,-445.00076759073033,7.262660063059977
39,0.0,-0.0,-442.2597062409651,0.26983291560152356
40,0.0,-0.0,-439.94034663731765,0.26012238269237153
41,0.0,-0.0,-441.78529177658265,0.2504118497832195
42,0.0,-0.0,-229.5850335458658,0.1119536025135737
43,12.431242204778455,-0.0,-228.45749994328943,0.10753424345797588
44,12.121957687644395,-0.0,-228.08565375520575,0.10753424345797588
45,10.9347042186491,-0.0,-226.65824419449737,0.10753424345797284
46,10.346065944105188,-0.0,-225.95053693330584,0.10753424345797588
47,4220.5032356970005,-0.0,-225.50672051527047,0.10753424345797588
