sheet,date,cluster_id,distance_to_centroid,num_points,mean_d
all_1-0,2024-04-01,0,0.2900989968150546,8,0.0891025641025641
all_1-0,2024-04-02,0,0.29044252125425996,8,0.0919871794871795
all_1-0,2024-04-03,0,0.2917141761813117,8,0.08051282051282052
all_1-0,2024-04-04,0,0.3147932555205655,8,0.10346153846153847
all_1-0,2024-04-05,0,0.2901316302376279,8,0.08217948717948718
all_1-0,2024-04-06,3,0.1909881883895234,8,0.21294871794871792
all_1-0,2024-04-07,3,0.1909881883895234,8,0.21294871794871792
all_1-0,2024-04-08,0,0.34309740965432195,8,0.0
all_1-0,2024-04-09,0,0.34309740965432195,8,0.0
all_1-0,2024-04-10,0,0.34309740965432195,8,0.0
all_1-0,2024-04-11,0,0.34309740965432195,8,0.0
all_1-0,2024-04-12,0,0.34309740965432195,8,0.0
all_1-0,2024-04-13,3,0.13900494390979617,8,0.2619230769230769
all_1-0,2024-04-14,3,0.13900494390979617,8,0.2619230769230769
all_1-0,2024-04-15,7,0.07851631344840607,8,0.34012820512820513
all_1-0,2024-04-16,7,0.07851631344840607,8,0.34012820512820513
all_1-0,2024-04-17,7,0.14345349910142963,8,0.3243589743589744
all_1-0,2024-04-18,7,0.14345349910142963,8,0.3243589743589744
all_1-0,2024-04-19,7,0.14345349910142963,8,0.3243589743589744
all_1-0,2024-04-20,5,0.16000762154748577,8,0.31371794871794867
all_1-0,2024-04-21,5,0.15628851195747454,8,0.31108974358974356
all_1-0,2024-04-22,7,0.11769567203712375,8,0.3094230769230769
all_1-0,2024-04-23,5,0.16383464785579857,8,0.376474358974359
all_1-0,2024-04-24,5,0.1641300775762592,8,0.3795512820512821
all_1-0,2024-04-25,5,0.16600768252459977,8,0.38224358974358974
all_1-0,2024-04-26,7,0.2071724406414671,8,0.40249999999999997
all_1-0,2024-04-27,6,0.30326373152225605,8,0.45647435897435895
all_1-0,2024-04-28,6,0.2193220499053595,8,0.38750000000000007
all_1-0,2024-04-29,7,0.20593745363612537,8,0.35275641025641025
all_1-0,2024-04-30,3,0.2819374182912092,8,0.2580128205128205
all_1-0,2024-05-01,5,0.3048681568450711,8,0.27019230769230773
all_1-0,2024-05-02,7,0.24540133004083708,8,0.3639102564102564
all_1-0,2024-05-03,4,0.18144558415063763,8,0.24634615384615388
all_1-0,2024-05-04,5,0.15480830871712506,8,0.33499999999999996
all_1-0,2024-05-05,5,0.15480830871712506,8,0.33499999999999996
all_1-0,2024-05-06,5,0.15480830871712506,8,0.33499999999999996
all_1-0,2024-05-07,5,0.20606978853534555,8,0.31724358974358974
all_1-0,2024-05-08,5,0.17683203634214,8,0.3586538461538461
all_1-0,2024-05-09,5,0.08107667079824048,8,0.3540384615384615
all_1-0,2024-05-10,5,0.08107667079824048,8,0.3540384615384615
all_1-0,2024-05-11,3,0.21393556036903352,8,0.2733333333333333
all_1-0,2024-05-12,3,0.29363006969383193,8,0.2846153846153846
all_1-0,2024-05-13,0,0.34309740965432195,8,0.0
all_1-0,2024-05-14,0,0.34309740965432195,8,0.0
all_1-0,2024-05-15,0,0.16287188351065426,8,0.06121794871794872
all_1-0,2024-05-16,0,0.16287188351065426,8,0.06121794871794872
all_1-0,2024-05-17,0,0.16287188351065426,8,0.06121794871794872
all_1-0,2024-05-18,0,0.3410267796877076,8,0.1066025641025641
all_1-0,2024-05-19,0,0.3410267796877076,8,0.1066025641025641
all_1-0,2024-05-20,0,0.06915355578628883,8,0.03775641025641025
all_1-0,2024-05-21,0,0.06915355578628883,8,0.03775641025641025
all_1-0,2024-05-22,0,0.06915355578628883,8,0.03775641025641025
all_1-0,2024-05-23,2,0.16238895880999216,8,0.20365384615384616
all_1-0,2024-05-24,2,0.16238895880999216,8,0.20365384615384616
all_1-0,2024-05-25,5,0.3697449931517902,8,0.23884615384615387
all_1-0,2024-05-26,5,0.3697449931517902,8,0.23884615384615387
all_1-0,2024-05-27,2,0.21249054692051617,8,0.19685897435897437
all_1-0,2024-05-28,2,0.18874011062874596,8,0.23025641025641025
all_1-0,2024-05-29,1,0.2995687844953489,8,0.19666666666666668
all_1-0,2024-05-30,0,0.3294978027985779,8,0.09615384615384616
all_1-0,2024-05-31,0,0.329259871623589,8,0.09576923076923077
all_1-0,2024-06-01,0,0.10041186687331992,8,0.0662820512820513
all_1-0,2024-06-02,0,0.32369238072846446,8,0.00871794871794872
all_1-0,2024-06-03,3,0.33752543879929553,8,0.13756410256410256
all_1-0,2024-06-04,3,0.2310089438641086,8,0.20653846153846153
all_1-0,2024-06-05,2,0.10673188311187318,8,0.22044871794871795
all_1-0,2024-06-06,7,0.07835522331975531,8,0.3519871794871795
all_1-0,2024-06-07,7,0.12219500643718083,8,0.36685897435897435
all_1-0,2024-06-08,2,0.2722901082833686,8,0.2283333333333334
all_1-0,2024-06-09,2,0.2722901082833686,8,0.2283333333333334
all_1-0,2024-06-10,6,0.4008399942704905,8,0.3598717948717949
all_1-0,2024-06-11,1,0.4131058807345816,8,0.37076923076923074
all_1-0,2024-06-12,6,0.41155193580264915,8,0.37615384615384617
all_1-0,2024-06-13,6,0.41155193580264915,8,0.37615384615384617
all_1-0,2024-06-14,2,0.21150372003606527,8,0.24121794871794872
all_1-0,2024-06-15,2,0.19475099553055947,8,0.2617948717948718
all_1-0,2024-06-16,2,0.18799605501273547,8,0.2698076923076923
all_1-0,2024-06-17,2,0.4341143109150801,8,0.1594871794871795
all_1-0,2024-06-18,2,0.3101093705287846,8,0.18987179487179487
all_1-0,2024-06-19,1,0.2425550072682076,8,0.26314102564102565
all_1-0,2024-06-20,7,0.1407203671846395,8,0.34249999999999997
all_1-0,2024-06-21,5,0.20090733839266678,8,0.38083333333333336
all_1-0,2024-06-22,7,0.10087338492185431,8,0.33685897435897433
all_1-0,2024-06-23,7,0.0720219679263441,8,0.3271153846153846
all_1-0,2024-06-24,5,0.1258339053808713,8,0.32153846153846155
all_1-0,2024-06-25,5,0.1553080843903307,8,0.37525641025641027
all_1-0,2024-06-26,5,0.11754960567019486,8,0.31826923076923075
all_1-0,2024-06-27,6,0.21943404972263492,8,0.4295512820512821
all_1-0,2024-06-28,7,0.13093727864645396,8,0.2951923076923077
all_1-0,2024-06-29,6,0.3489155307729582,8,0.4866666666666667
all_1-0,2024-06-30,6,0.3489155307729582,8,0.4866666666666667
all_1-0,2024-07-01,7,0.15798258506567944,8,0.3588461538461538
all_1-0,2024-07-02,7,0.15798258506567944,8,0.3588461538461538
all_1-0,2024-07-03,7,0.15798258506567944,8,0.3588461538461538
all_1-0,2024-07-04,7,0.15798258506567944,8,0.3588461538461538
all_1-0,2024-07-05,7,0.15798258506567944,8,0.3588461538461538
all_1-0,2024-07-06,7,0.1420119952431634,8,0.326025641025641
all_1-0,2024-07-07,7,0.1420119952431634,8,0.326025641025641
all_1-0,2024-07-08,3,0.10717574458552463,8,0.2516025641025641
all_1-0,2024-07-09,3,0.097179173844891,8,0.24378205128205124
all_1-0,2024-07-10,3,0.09813664597401169,8,0.24224358974358973
all_1-0,2024-07-11,5,0.17335469399997303,8,0.37089743589743585
all_1-0,2024-07-12,5,0.17022589102013855,8,0.36935897435897436
all_1-0,2024-07-13,7,0.13462467000880735,8,0.3426923076923077
