t,A,B,C,D
TOTAL,-4685.787683344088,0.0,-105358.23205783151,0.0
0,0.0,-0.0,-0.0,0.0
1,0.0,-0.0,-0.0,0.0
2,5363.157894736842,-0.0,-0.0,0.0
3,0.0,-0.0,-0.0,0.0
4,0.0,-0.0,-0.0,0.0
5,0.0,-0.0,-0.0,0.0
6,0.0,-0.0,-0.0,0.0
7,-3305.8575,-0.0,-0.0,0.0
8,-2203.905,-0.0,-0.0,0.0
9,0.0,-0.0,-0.0,0.0
10,0.0,-0.0,-0.0,0.0
11,0.0,-0.0,-0.0,0.0
12,0.0,-0.0,-0.0,0.0
13,0.0,-0.0,-0.0,0.0
14,0.0,-0.0,-0.0,0.0
15,0.0,-0.0,-0.0,0.0
16,0.0,-0.0,-0.0,0.0
17,0.0,-0.0,-0.0,0.0
18,0.0,-0.0,-9931.651499999998,0.0
19,0.0,-0.0,-9931.651499999998,0.0
20,0.0,-0.0,-9931.651499999998,0.0
21,0.0,-0.0,-9931.651499999998,0.0
22,0.0,-0.0,-9931.651499999998,0.0
23,0.0,-0.0,-9931.651499999998,0.0
24,0.0,-0.0,-4887.682869388725,0.0
25,0.0,-0.0,-4887.682869388725,0.0
26,0.0,-0.0,-4887.682869388725,0.0
27,0.0,-0.0,-4887.682869388725,0.0
28,0.7072645109670083,-0.0,-4887.682869388725,0.0
29,0.23255816535129586,-0.0,-4887.682869388725,0.0
30,1.1584710878202367,-0.0,-1735.7979813020347,0.0
31,0.0,-0.0,-1735.7979813020347,0.0
32,0.21167901774573528,-0.0,-1735.7979813020347,0.0
33,6.732178115419485,-0.0,-1735.7979813020347,0.0
34,74.08765621100777,-0.0,-1824.7447439242856,0.0
35,411.34252184878403,-0.0,-1851.339698699751,0.0
36,0.0,-0.0,-673.7491849038968,0.0
37,-3097.3806021738474,-0.0,-686.8952279650266,0.0
38,-3114.3061792349067,-0.0,-687.3006125528148,0.0
39,-574.3933341578684,-0.0,-682.3780854153873,0.0
40,-1823.073814922044,-0.0,-682.3780854153873,0.0
41,-737.366314922044,-0.0,-682.3780854153873,0.0
42,0.0,-0.0,-289.129259681966,0.0
43,0.0,-0.0,-288.65484521758356,0.0
44,0.0,-0.0,-288.6284888584512,0.0
45,0.0,-0.0,-287.1261763879068,0.0
46,0.0,-0.0,-288.12771803493644,0.0
47,4312.864838372686,-0.0,-286.2037038182743,0.0
