t,A,B,C,D
TOTAL,-6461.588130135473,-128390.15890963789,0.0,187.20635211980036
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,4668.421052631577,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,-1974.6699999999998,-0.0,-0.0,7.621912495066519
9,0.0,-0.0,-0.0,4.556063699556271
10,-2978.25,-0.0,-0.0,12.01041082139336
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-1115.2378378615163,-0.0,2.6425770556884647
13,0.0,-1105.0755243937979,-0.0,2.6275957605790263
14,0.0,-1074.6494361670964,-0.0,2.5969667024491825
15,0.0,-1056.454635407529,-0.0,2.5663376443193373
16,0.0,-1056.454635407529,-0.0,2.5357085861894912
17,0.0,-1056.454635407529,-0.0,2.505079528059646
18,0.0,-12476.701500000001,-0.0,8.082208399879104
19,0.0,-12476.701500000001,-0.0,7.6093023895306295
20,0.0,-12476.701500000001,-0.0,7.345840769135577
21,0.0,-12476.701500000001,-0.0,6.919645909306995
22,0.0,-12476.701500000001,-0.0,6.493451049478415
23,0.0,-12476.701500000001,-0.0,6.364118868275228
24,0.0,-5855.707817335243,-0.0,2.867439005116246
25,0.0,-5855.707817335243,-0.0,2.8852509431064237
26,0.0,-5855.707817335243,-0.0,2.7599181024541144
27,0.0,-5855.707817335243,-0.0,2.6345852618018046
28,0.0,-5855.707817335243,-0.0,2.5092524211494953
29,0.025400769114764552,-5855.707817335243,-0.0,2.3839195804971856
30,0.0932879937932988,-1408.8187504238456,-0.0,1.0054860547398883
31,8.912893369660203,-1408.8187504238456,-0.0,1.0054860547398883
32,9.328799379330025,-1419.9224090729947,-0.0,5.521682203456067
33,73.41765111532543,-1496.9750706079983,-0.0,5.521682203456067
34,82.7464504946552,-1508.1908874253206,-0.0,5.521682203456067
35,443.92829302012854,-1533.538633432469,-0.0,5.521682203456067
36,-324.731053787321,-343.37490994656474,-0.0,5.521682203456067
37,-3648.990514344814,-352.6139256594127,-0.0,9.58054585931443
38,-3648.9905143448145,-352.6139256594127,-0.0,10.154510730787214
39,-3469.9741786276286,-348.8876928028497,-0.0,7.328366238955533
40,0.0,-343.01759994662035,-0.0,0.4952193180000661
41,0.0,-337.30063994751004,-0.0,0.4764129565566503
42,21.428400074829362,-179.55051760543287,-0.0,0.20826126320100863
43,83.93595123990886,-179.016210204097,-0.0,0.20826126320100863
44,0.0,-181.3857473752387,-0.0,0.23393814350985573
45,0.0,-180.2706710594073,-0.0,0.2253791834069067
46,0.0,-180.2706710594073,-0.0,0.21682022330395764
47,4191.779950880782,-176.80928832901407,-0.0,0.20826126320100863
