t,A,B,C,D
TOTAL,2657.858979903557,0.0,-101405.52166727147,204.17428564465092
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,3947.368421052631,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,5.521682203456067
4,0.0,-0.0,-0.0,5.521682203456067
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,-1712.945,-0.0,-0.0,7.621912495066519
8,-2677.7175,-0.0,-0.0,12.01041082139336
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-0.0,-9062.002499999999,8.246009036774268
13,0.0,-0.0,-9062.002499999999,7.928165104074678
14,0.0,-0.0,-9034.927499999998,7.455259093726201
15,0.0,-0.0,-9034.927499999998,7.207013054058488
16,7.336361408536748,-0.0,-9034.927499999998,6.780818194229907
17,0.0,-0.0,-9074.998499999998,6.631279793883305
18,0.0,-0.0,-4573.971973018142,3.3875796253697716
19,0.0,-0.0,-4573.971973018142,3.2297990368629907
20,0.0,-0.0,-4573.971973018142,3.07201844835621
21,0.0,-0.0,-4573.971973018142,3.105380354368233
22,0.0,-0.0,-4568.100378701046,2.9631844965639162
23,0.0,-0.0,-4553.281593043612,2.8209886387595993
24,6658.292359809836,-0.0,-2005.9467324422897,1.194987670518321
25,80.96722428774511,-0.0,-2006.073981029732,5.521682203456067
26,0.0,-0.0,-2010.5276815902168,5.521682203456067
27,169.3432141965882,-0.0,-2010.5276815902168,5.521682203456067
28,86.25919973138663,-0.0,-2012.4364104018532,5.521682203456067
29,379.665980012244,-0.0,-2015.490376500471,5.521682203456067
30,90.17526155968373,-0.0,-977.0926807373686,5.521682203456067
31,0.0,-0.0,-979.1196036763092,5.521682203456067
32,0.0,-0.0,-979.1196036763092,5.521682203456067
33,-504.20427688933944,-0.0,-987.4589437679512,5.521682203456067
34,-1563.9336467161672,-0.0,-987.5168558519208,7.621912495066519
35,-310.49013334072237,-0.0,-987.4589437679512,4.748092091737332
36,0.0,-0.0,-186.28674634750547,3.7923250790925485
37,-2786.927097093944,-0.0,-189.29137128859426,10.534254299774057
38,-2786.927097093944,-0.0,-189.29137128859426,7.295827736454177
39,-14.273047834821051,-0.0,-187.97355333197635,0.319453535887568
40,0.0,-0.0,-187.947196972844,0.27779981891476285
41,0.0,-0.0,-186.49759722056433,0.2680892860056106
42,0.0,-0.0,-99.71475359805552,0.12963103873596504
43,0.0,-0.0,-99.71475359805552,0.12521167968036723
44,0.0,-0.0,-100.3984707825965,0.12079232062476936
45,0.0,-0.0,-99.71475359805552,0.11637296156917154
46,0.0,-0.0,-99.64278336810384,0.11195360251357371
47,3595.868756813844,-0.0,-99.22295702671903,0.1075342434579759
