--- y2[i][j][t] nonzero ---
y2[3][1][13] = 0.10000000
y2[3][2][13] = 0.10000000
y2[4][1][38] = 0.10000000
y2[4][2][38] = 0.10000000
y2[4][3][38] = 0.10000000
y2[6][1][12] = 0.10000000
y2[6][2][12] = 0.10000000
y2[6][3][12] = 0.10000000
y2[7][1][37] = 0.10000000
y2[7][2][37] = 0.10000000
y2[7][3][37] = 0.10000000
y2[10][1][10] = 0.10000000
y2[10][1][11] = 0.10000000
y2[10][1][36] = 0.10000000
y2[10][2][11] = 0.10000000
y2[10][2][36] = 0.10000000
y2[10][3][11] = 0.10000000
y2[10][3][36] = 0.10000000
