t,A,B,C,D
TOTAL,-6792.056129756579,-126508.03877952213,0.0,0.0
0,0.0,-1074.8928448729164,-0.0,0.0
1,0.0,-1074.1626187554755,-0.0,0.0
2,0.0,-1072.2153491089666,-0.0,0.0
3,0.0,-1072.2153491089666,-0.0,0.0
4,0.0,-1072.3979056383268,-0.0,0.0
5,0.0,-1074.6494361671027,-0.0,0.0
6,0.0,-0.0,-0.0,0.0
7,0.0,-0.0,-0.0,0.0
8,0.0,-0.0,-0.0,0.0
9,0.0,-0.0,-0.0,0.0
10,0.0,-0.0,-0.0,0.0
11,0.0,-0.0,-0.0,0.0
12,0.0,-0.0,-0.0,0.0
13,0.0,-0.0,-0.0,0.0
14,0.0,-0.0,-0.0,0.0
15,0.0,-0.0,-0.0,0.0
16,0.0,-0.0,-0.0,0.0
17,0.0,-0.0,-0.0,0.0
18,0.0,-16098.795,-0.0,0.0
19,0.1518421052631581,-16072.261499999999,-0.0,0.0
20,0.0,-16072.261499999999,-0.0,0.0
21,0.0,-16072.261499999999,-0.0,0.0
22,0.0,-16072.261499999999,-0.0,0.0
23,0.0,-16072.261499999999,-0.0,0.0
24,-0.08462731509670396,-3332.1419720630347,-0.0,0.0
25,0.0,-3332.1419720630347,-0.0,0.0
26,6.72574762479264,-3332.1419720630347,-0.0,0.0
27,0.8730532725079193,-3332.1419720630347,-0.0,0.0
28,10.248953777710732,-3344.2176289398258,-0.0,0.0
29,107.78917207057759,-3350.3786783667597,-0.0,0.0
30,106.17916113708317,-0.0,-0.0,0.0
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,0.0,-0.0,-0.0,0.0
35,0.0,-0.0,-0.0,0.0
36,-3388.220768815112,-0.0,-0.0,0.0
37,-4061.25,-0.0,-0.0,0.0
38,-3790.5,-0.0,-0.0,0.0
39,0.0,-0.0,-0.0,0.0
40,0.0,-0.0,-0.0,0.0
41,0.0,-0.0,-0.0,0.0
42,0.0,-614.6267615892581,-0.0,0.0
43,0.0,-610.2525930305025,-0.0,0.0
44,104.29597706090767,-600.943465072125,-0.0,0.0
45,97.29937752641021,-592.5316024591333,-0.0,0.0
46,93.66114576847157,-588.1574339003777,-0.0,0.0
47,3920.774836029905,-577.7267242602679,-0.0,0.0
