t,A,B,C,D
TOTAL,-9094.140945581335,0.0,-107493.94907929546,217.60704079964023
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,2.1947268243669815
6,0.0,-0.0,-0.0,2.1947268243669815
7,0.0,-0.0,-0.0,2.1947268243669815
8,0.0,-0.0,-0.0,2.1947268243669815
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-0.0,-10225.685999999998,11.280714362683716
13,0.0,-0.0,-10194.820499999998,10.807808352335238
14,0.0,-0.0,-10142.294999999998,10.334902341986762
15,0.0,-0.0,-10145.002499999999,9.154846618650799
16,0.0,-0.0,-10096.267499999998,8.728651758822219
17,0.0,-0.0,-10011.251999999999,7.650963386458296
18,0.0,-0.0,-4774.724578716965,4.265597515224144
19,0.0,-0.0,-4786.747367080543,4.107816926717362
20,152.73379245630812,-0.0,-4674.907475326325,3.623446372269992
21,-261.9002706144543,-0.0,-4702.867448264879,8.661347342553794
22,0.0,-0.0,-4660.927488857048,3.339054656661359
23,0.0,-0.0,-4660.927488857048,3.1968587988570425
24,0.0,-0.0,-1952.1205799541474,1.4598538185801568
25,8.830471879558026,-0.0,-1952.1205799541474,1.4129713341748773
26,31.751852661860468,-0.0,-1990.1679075994307,5.521682203456067
27,-1652.8631361047492,-0.0,-2053.537704145755,9.58054585931443
28,-1659.0769072931128,-0.0,-2053.9194499080822,15.458844172613642
29,3313.9828521742756,-0.0,-2028.7242295944836,3.8048206132103433
30,90.06942205080983,-0.0,-734.9622576599069,5.521682203456067
31,50.288020172827004,-0.0,-746.1392898660657,5.521682203456067
32,55.05671174093991,-0.0,-751.8725861790695,5.521682203456067
33,67.43604237735589,-0.0,-766.7559917592914,5.521682203456067
34,69.6517980554673,-0.0,-769.4199476218992,5.521682203456067
35,0.0,-0.0,-779.4387381486633,5.521682203456067
36,-4419.9324386443695,-0.0,-185.97047003791724,9.58054585931443
37,-4510.0825757962075,-0.0,-186.89294260754977,15.267159858936463
38,-4322.395305658191,-0.0,-185.97047003791724,9.191755299780425
39,0.0,-0.0,-185.3115610596083,0.3255731690036262
40,0.0,-0.0,-180.6201291340486,0.3158626360944741
41,0.0,-0.0,-182.91313237856372,0.30615210318532216
42,0.0,-0.0,-125.33615546085443,0.1373215401889337
43,13.099695838582164,-0.0,-123.22502871560508,0.13290218113333582
44,12.969995879784515,-0.0,-123.06909321737643,0.13290218113333582
45,10.974611898279205,-0.0,-120.67008555232036,0.11977480771981738
46,10.385973623735138,-0.0,-119.96237829112883,0.11977480771981738
47,3844.878447719967,-0.0,-118.40302330884238,0.11977480771981738
