t,A,B,C,D
TOTAL,-4206.564332822183,0.0,-31716.267405988176,235.30067785592206
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,4105.263157894737,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,0.0,-0.0,-0.0,5.521682203456067
9,0.0,-0.0,-0.0,5.521682203456067
10,-846.5450000000001,-0.0,-0.0,5.521682203456067
11,0.0,-0.0,-0.0,5.521682203456067
12,-2731.8675,-0.0,-0.0,9.58054585931443
13,-846.5450000000001,-0.0,-0.0,5.93315765413851
14,0.0,-0.0,-0.0,2.1947268243669815
15,0.0,-0.0,-0.0,2.1947268243669815
16,0.0,-0.0,-0.0,2.1947268243669815
17,0.0,-0.0,-0.0,2.1947268243669815
18,0.0,-0.0,-2762.1914999999995,11.280714362683716
19,0.0,-0.0,-2762.1914999999995,10.807808352335238
20,0.0,-0.0,-2762.1914999999995,10.334902341986762
21,0.0,-0.0,-2762.1914999999995,9.154846618650799
22,0.0,-0.0,-2762.1914999999995,8.728651758822217
23,0.0,-0.0,-2762.1914999999995,7.650963386458297
24,0.0,-0.0,-0.0,0.6901660786723347
25,0.0,-0.0,-0.0,0.6901660786723347
26,0.0,-0.0,-0.0,0.6901660786723347
27,0.0,-0.0,-0.0,0.6901660786723347
28,0.0,-0.0,-0.0,0.6901660786723347
29,0.0,-0.0,-0.0,0.6901660786723347
30,0.0,-0.0,-0.0,0.6901660786723347
31,7.965526315789475,-0.0,-0.0,0.6901660786723347
32,0.0,-0.0,-0.0,5.521682203456067
33,0.0,-0.0,-0.0,5.521682203456067
34,0.0,-0.0,-0.0,5.521682203456067
35,-1124.2953263352597,-0.0,-0.0,7.621912495066519
36,-1351.4053963705846,-0.0,-2055.6172104425327,20.35859227582204
37,-1384.1429301973901,-0.0,-2062.607203677171,15.595668270990885
38,-1354.0243990767287,-0.0,-2056.1764099013035,12.50209819797104
39,-1321.286865249922,-0.0,-2049.186416666665,9.094905347560335
40,-35.82741109347577,-0.0,-2046.670019102195,3.690481020751519
41,0.0,-0.0,-2046.670019102195,3.451456352987564
42,0.0,-0.0,-483.0356379314218,1.644296605688496
43,0.0,-0.0,-478.2001916086099,1.597414121283216
44,0.0,-0.0,-478.2001916086099,1.550531636877937
45,0.0,-0.0,-474.50998257277973,1.5036491524726574
46,0.0,-0.0,-474.50998257277973,1.4567666680673776
47,2676.146811290652,-0.0,-437.7351408019207,1.2706232927503265
