--- x2[i][j][t] nonzero ---
x2[1][1][12] = 0.10000000
x2[1][1][15] = 0.10000000
x2[1][1][16] = 0.10000000
x2[1][1][17] = 0.10000000
x2[1][1][21] = 0.10000000
x2[1][1][22] = 0.10000000
x2[1][1][23] = 0.10000000
x2[1][1][24] = 0.10000000
x2[1][1][25] = 0.10000000
x2[1][1][26] = 0.10000000
x2[1][1][27] = 0.10000000
x2[1][1][28] = 0.10000000
x2[1][1][29] = 0.10000000
x2[1][1][30] = 0.10000000
x2[1][1][31] = 0.10000000
x2[1][1][32] = 0.10000000
x2[1][1][33] = 0.10000000
x2[1][1][34] = 0.10000000
x2[1][1][37] = 0.10000000
x2[1][1][39] = 0.10000000
x2[1][1][40] = 0.10000000
x2[1][1][41] = 0.10000000
x2[1][1][42] = 0.10000000
x2[1][1][43] = 0.10000000
x2[1][1][44] = 0.10000000
x2[1][1][45] = 0.10000000
x2[1][1][46] = 0.10000000
x2[1][1][47] = 0.10000000
x2[1][2][6] = 0.10000000
x2[1][2][7] = 0.10000000
x2[1][2][8] = 0.10000000
x2[1][2][9] = 0.10000000
x2[1][2][10] = 0.10000000
x2[1][2][11] = 0.10000000
x2[1][2][18] = 0.10000000
x2[1][2][19] = 0.10000000
x2[1][2][20] = 0.10000000
x2[1][3][0] = 0.10000000
x2[1][3][1] = 0.10000000
x2[1][3][2] = 0.10000000
x2[1][3][3] = 0.10000000
x2[1][3][4] = 0.10000000
x2[1][3][5] = 0.10000000
x2[1][3][13] = 0.10000000
x2[1][3][14] = 0.10000000
x2[1][3][35] = 0.10000000
x2[1][3][36] = 0.10000000
x2[1][3][38] = 0.10000000
x2[2][1][12] = 0.10000000
x2[2][1][15] = 0.10000000
x2[2][1][16] = 0.05705000
x2[2][1][17] = 0.05705000
x2[2][1][21] = 0.01426250
x2[2][1][28] = 0.10000000
x2[2][1][29] = 0.10000000
x2[2][1][30] = 0.10000000
x2[2][1][31] = 0.10000000
x2[2][1][32] = 0.10000000
x2[2][1][33] = 0.10000000
x2[2][1][34] = 0.10000000
x2[2][1][37] = 0.10000000
x2[2][1][39] = 0.03128949
x2[2][1][40] = 0.02479849
x2[2][1][41] = 0.01830748
x2[2][1][42] = 0.01181648
x2[2][1][43] = 0.00886236
x2[2][1][44] = 0.00590824
x2[2][1][45] = 0.00295412
x2[2][2][6] = 0.10000000
x2[2][2][7] = 0.10000000
x2[2][2][8] = 0.10000000
x2[2][2][9] = 0.10000000
x2[2][2][10] = 0.10000000
x2[2][2][11] = 0.10000000
x2[2][2][18] = 0.05705000
x2[2][2][19] = 0.04278750
x2[2][2][20] = 0.02852500
x2[2][3][0] = 0.10000000
x2[2][3][1] = 0.10000000
x2[2][3][2] = 0.10000000
x2[2][3][3] = 0.10000000
x2[2][3][4] = 0.10000000
x2[2][3][5] = 0.10000000
x2[2][3][13] = 0.10000000
x2[2][3][14] = 0.10000000
x2[2][3][35] = 0.10000000
x2[2][3][36] = 0.10000000
x2[2][3][38] = 0.10000000
x2[3][1][12] = 0.10000000
x2[3][1][15] = 0.05612793
x2[3][1][28] = 0.10000000
x2[3][1][29] = 0.10000000
x2[3][1][30] = 0.10000000
x2[3][1][31] = 0.10000000
x2[3][1][32] = 0.10000000
x2[3][1][33] = 0.10000000
x2[3][1][34] = 0.10000000
x2[3][1][37] = 0.10000000
x2[3][2][6] = 0.04327500
x2[3][2][7] = 0.02890417
x2[3][2][8] = 0.01453333
x2[3][2][9] = 0.10000000
x2[3][2][10] = 0.10000000
x2[3][2][11] = 0.10000000
x2[3][3][0] = 0.10000000
x2[3][3][1] = 0.10000000
x2[3][3][2] = 0.10000000
x2[3][3][3] = 0.10000000
x2[3][3][4] = 0.10000000
x2[3][3][5] = 0.08606250
x2[3][3][13] = 0.10000000
x2[3][3][14] = 0.10000000
x2[3][3][35] = 0.10000000
x2[3][3][36] = 0.10000000
x2[3][3][38] = 0.10000000
x2[4][1][12] = 0.10000000
x2[4][1][28] = 0.10000000
x2[4][1][29] = 0.10000000
x2[4][1][30] = 0.10000000
x2[4][1][31] = 0.10000000
x2[4][1][32] = 0.10000000
x2[4][1][33] = 0.10000000
x2[4][1][34] = 0.10000000
x2[4][1][37] = 0.10000000
x2[4][2][9] = 0.10000000
x2[4][2][10] = 0.10000000
x2[4][2][11] = 0.10000000
x2[4][3][0] = 0.10000000
x2[4][3][1] = 0.10000000
x2[4][3][2] = 0.10000000
x2[4][3][3] = 0.07163750
x2[4][3][4] = 0.02885000
x2[4][3][13] = 0.10000000
x2[4][3][14] = 0.10000000
x2[4][3][35] = 0.10000000
x2[4][3][36] = 0.10000000
x2[4][3][38] = 0.09226951
x2[5][1][12] = 0.10000000
x2[5][1][28] = 0.10000000
x2[5][1][29] = 0.10000000
x2[5][1][30] = 0.10000000
x2[5][1][31] = 0.10000000
x2[5][1][32] = 0.10000000
x2[5][1][33] = 0.10000000
x2[5][1][34] = 0.10000000
x2[5][1][37] = 0.03901998
x2[5][2][9] = 0.10000000
x2[5][2][10] = 0.10000000
x2[5][2][11] = 0.10000000
x2[5][3][0] = 0.10000000
x2[5][3][1] = 0.05721250
x2[5][3][2] = 0.01442500
x2[5][3][13] = 0.10000000
x2[5][3][14] = 0.10000000
x2[5][3][35] = 0.10000000
x2[5][3][36] = 0.10000000
x2[6][1][12] = 0.10000000
x2[6][1][28] = 0.10000000
x2[6][1][29] = 0.10000000
x2[6][1][30] = 0.10000000
