t,A,B,C,D
TOTAL,-1969.8558857443413,0.0,-104520.01638044493,276.57528433788025
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,4142.105263157894,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,0.0,-0.0,-0.0,5.521682203456067
9,0.0,-0.0,-0.0,5.521682203456067
10,0.0,-0.0,-0.0,5.521682203456067
11,-1505.2772277941488,-0.0,-0.0,7.621912495066519
12,0.0,-0.0,-6089.34378052924,16.375383262580495
13,0.0,-0.0,-6084.497951125048,15.094001124893959
14,584.7379796586869,-0.0,-6084.497951125048,14.649266421360174
15,301.98027157346877,-0.0,-6096.053390473506,15.094001124893959
16,364.6086235835721,-0.0,-6171.3501242924885,15.09400112489396
17,412.811980920711,-0.0,-6219.808418334408,15.094001124893959
18,0.0,-0.0,-6975.416170438005,15.081734663471618
19,-1529.5804552070895,-0.0,-7044.523841030392,17.581018222254336
20,-1498.988846102951,-0.0,-7031.14816285122,14.795356446773706
21,-1498.9888461029518,-0.0,-7031.14816285122,12.316454963897826
22,-1498.9888461029516,-0.0,-7031.14816285122,9.379157337645562
23,-1498.9888461029516,-0.0,-7031.14816285122,7.512532434243774
24,0.0,-0.0,-3043.701362165844,2.0932637971770873
25,9100.069530162009,-0.0,-3026.791910153812,2.030963921305014
26,-1553.474859625972,-0.0,-3114.55196609626,7.621912495066519
27,-3284.6163325387365,-0.0,-3139.070671513707,17.91223194935313
28,-3284.6163325387365,-0.0,-3139.070671513707,12.92089112115044
29,-3284.6163325387365,-0.0,-3139.070671513707,8.91221329068873
30,-403.253531038698,-0.0,-0.0,0.6806235386741516
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,0.0,-0.0,-0.0,0.0
35,0.0,-0.0,-0.0,0.0
36,0.0,-0.0,-0.0,0.0
37,0.0,-0.0,-0.0,0.0
38,0.0,-0.0,-0.0,0.0
39,0.0,-0.0,-0.0,0.0
40,0.0,-0.0,-0.0,0.0
41,0.0,-0.0,-0.0,0.0
42,64.00893520876782,-0.0,-1175.896536231589,0.7684393558373255
43,62.98479224542754,-0.0,-1174.665230958048,0.7684393558373396
44,61.12853312437328,-0.0,-1172.433490149755,0.7684393558373396
45,60.10439016103299,-0.0,-1171.202184876214,0.7684393558373396
46,57.99209529914366,-0.0,-1168.662617749536,0.7684393558373396
47,3659.002174854495,-0.0,-1164.8147887697205,0.7684393558373394
