--- y2[i][j][t] nonzero ---
y2[3][1][38] = 0.10000000
y2[4][1][15] = 0.10000000
y2[4][1][37] = 0.10000000
y2[4][2][15] = 0.10000000
y2[4][2][37] = 0.10000000
y2[4][3][15] = 0.10000000
y2[7][1][14] = 0.10000000
y2[7][1][36] = 0.10000000
y2[7][2][14] = 0.10000000
y2[7][2][36] = 0.10000000
y2[7][3][14] = 0.10000000
y2[7][3][36] = 0.10000000
y2[10][1][13] = 0.10000000
y2[10][1][35] = 0.10000000
y2[10][2][13] = 0.10000000
y2[10][2][35] = 0.10000000
y2[10][3][13] = 0.10000000
y2[10][3][35] = 0.10000000
