t,A,B,C,D
TOTAL,-4624.642987936072,-105618.4002462936,0.0,202.11356342334727
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,4105.263157894737,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,0.0,-0.0,-0.0,5.521682203456067
9,0.0,-0.0,-0.0,5.521682203456067
10,-2539.635,-0.0,-0.0,9.58054585931443
11,-1693.0900000000001,-0.0,-0.0,11.471753870164605
12,0.0,-9860.173499999999,-0.0,11.280714362683716
13,0.0,-9821.726999999999,-0.0,10.807808352335238
14,0.0,-9747.5415,-0.0,10.33490234198676
15,0.0,-9719.925,-0.0,9.154846618650799
16,0.0,-9719.925,-0.0,8.728651758822219
17,0.0,-9319.215,-0.0,7.650963386458297
18,0.0,-4608.0831400031775,-0.0,4.265597515224143
19,0.0,-4608.0831400031775,-0.0,4.107816926717361
20,0.0,-4608.0831400031775,-0.0,3.6234463722699917
21,0.0,-4608.0831400031775,-0.0,3.4812505144656747
22,0.0,-4608.0831400031775,-0.0,3.339054656661358
23,0.0,-4608.0831400031775,-0.0,3.1968587988570416
24,0.0,-0.0,-0.0,0.04996963491805851
25,0.0,-0.0,-0.0,0.04996963491805851
26,0.0,-0.0,-0.0,0.04996963491805851
27,0.0,-0.0,-0.0,0.04996963491805851
28,0.0,-0.0,-0.0,0.04996963491805851
29,0.0,-0.0,-0.0,0.04996963491805851
30,0.0,-2410.215494746854,-0.0,1.459853818580156
31,8.830471879558027,-2410.215494746854,-0.0,1.4129713341748762
32,31.751852661860106,-2448.262822392137,-0.0,5.521682203456067
33,90.81029861291888,-2519.2675341850068,-0.0,5.521682203456067
34,91.65701468390492,-2520.285522884546,-0.0,5.521682203456067
35,0.0,-2529.4474211804004,-0.0,5.521682203456067
36,-2495.3136467161676,-598.3476515753018,-0.0,9.58054585931443
37,-2555.7621362199507,-599.7954536745452,-0.0,14.87384600987655
38,-2293.272959311014,-598.4634757432414,-0.0,8.725961891894535
39,0.0,-597.015673643998,-0.0,0.7542148660475143
40,0.0,-596.4944648882704,-0.0,0.7328781861820743
41,0.0,-596.4944648882704,-0.0,0.7115415063166343
42,0.0,-228.66777183233694,-0.0,0.34057487576633216
43,0.0,-227.6662301853073,-0.0,0.33086434285718014
44,0.0,-227.6662301853073,-0.0,0.3211538099480281
45,0.0,-226.90189577046894,-0.0,0.31144327703887603
46,0.0,-226.90189577046894,-0.0,0.30173274412972395
47,2624.117958578082,-219.28490798121751,-0.0,0.26317780416085784
