--- x2[i][j][t] nonzero ---
x2[1][1][0] = 0.10000000
x2[1][1][2] = 0.10000000
x2[1][1][3] = 0.10000000
x2[1][1][4] = 0.10000000
x2[1][1][5] = 0.10000000
x2[1][1][6] = 0.10000000
x2[1][1][7] = 0.10000000
x2[1][1][8] = 0.10000000
x2[1][1][9] = 0.10000000
x2[1][1][10] = 0.10000000
x2[1][1][14] = 0.10000000
x2[1][1][15] = 0.10000000
x2[1][1][16] = 0.10000000
x2[1][1][17] = 0.10000000
x2[1][1][18] = 0.10000000
x2[1][1][19] = 0.10000000
x2[1][1][20] = 0.10000000
x2[1][1][21] = 0.10000000
x2[1][1][22] = 0.10000000
x2[1][1][23] = 0.10000000
x2[1][1][24] = 0.10000000
x2[1][1][25] = 0.10000000
x2[1][1][26] = 0.10000000
x2[1][1][27] = 0.10000000
x2[1][1][28] = 0.10000000
x2[1][1][29] = 0.10000000
x2[1][1][30] = 0.10000000
x2[1][1][34] = 0.10000000
x2[1][1][35] = 0.10000000
x2[1][1][36] = 0.10000000
x2[1][1][37] = 0.10000000
x2[1][1][38] = 0.10000000
x2[1][1][39] = 0.10000000
x2[1][1][40] = 0.10000000
x2[1][1][41] = 0.10000000
x2[1][1][42] = 0.10000000
x2[1][1][43] = 0.10000000
x2[1][1][44] = 0.10000000
x2[1][1][45] = 0.10000000
x2[1][1][46] = 0.10000000
x2[1][1][47] = 0.10000000
x2[1][2][11] = 0.10000000
x2[1][3][1] = 0.10000000
x2[1][3][12] = 0.10000000
x2[1][3][13] = 0.10000000
x2[1][3][31] = 0.10000000
x2[1][3][32] = 0.10000000
x2[1][3][33] = 0.10000000
x2[2][1][0] = 0.10000000
x2[2][1][2] = 0.10000000
x2[2][1][3] = 0.10000000
x2[2][1][4] = 0.10000000
x2[2][1][5] = 0.10000000
x2[2][1][6] = 0.10000000
x2[2][1][7] = 0.10000000
x2[2][1][8] = 0.10000000
x2[2][1][9] = 0.10000000
x2[2][1][10] = 0.10000000
x2[2][1][25] = 0.10000000
x2[2][1][26] = 0.10000000
x2[2][1][27] = 0.10000000
x2[2][1][28] = 0.10000000
x2[2][1][29] = 0.10000000
x2[2][1][30] = 0.10000000
x2[2][2][11] = 0.10000000
x2[2][3][1] = 0.10000000
x2[2][3][12] = 0.10000000
x2[2][3][13] = 0.10000000
x2[2][3][31] = 0.10000000
x2[2][3][32] = 0.10000000
x2[2][3][33] = 0.10000000
x2[3][1][0] = 0.10000000
x2[3][1][8] = 0.10000000
x2[3][1][9] = 0.10000000
x2[3][1][10] = 0.10000000
x2[3][1][25] = 0.10000000
x2[3][1][26] = 0.10000000
x2[3][1][27] = 0.10000000
x2[3][1][28] = 0.10000000
x2[3][1][29] = 0.10000000
x2[3][1][30] = 0.10000000
x2[3][2][11] = 0.10000000
x2[3][3][1] = 0.10000000
x2[3][3][12] = 0.10000000
x2[3][3][13] = 0.10000000
x2[3][3][31] = 0.10000000
x2[3][3][32] = 0.10000000
x2[3][3][33] = 0.10000000
x2[4][1][0] = 0.10000000
x2[4][1][8] = 0.10000000
x2[4][1][9] = 0.10000000
x2[4][1][10] = 0.10000000
x2[4][1][25] = 0.10000000
x2[4][1][26] = 0.10000000
x2[4][1][27] = 0.10000000
x2[4][1][28] = 0.10000000
x2[4][1][29] = 0.10000000
x2[4][1][30] = 0.10000000
x2[4][2][11] = 0.10000000
x2[4][3][1] = 0.10000000
x2[4][3][12] = 0.10000000
x2[4][3][13] = 0.10000000
x2[4][3][31] = 0.10000000
x2[4][3][32] = 0.10000000
x2[4][3][33] = 0.10000000
x2[5][1][0] = 0.10000000
x2[5][1][8] = 0.10000000
x2[5][1][9] = 0.10000000
x2[5][1][10] = 0.10000000
x2[5][1][25] = 0.10000000
x2[5][1][26] = 0.10000000
x2[5][1][27] = 0.10000000
x2[5][1][28] = 0.10000000
x2[5][1][29] = 0.10000000
x2[5][1][30] = 0.10000000
x2[5][2][11] = 0.10000000
x2[5][3][1] = 0.10000000
x2[5][3][12] = 0.10000000
x2[5][3][31] = 0.10000000
x2[5][3][32] = 0.10000000
x2[6][1][8] = 0.10000000
x2[6][1][9] = 0.10000000
x2[6][1][10] = 0.10000000
x2[6][1][25] = 0.10000000
x2[6][1][26] = 0.10000000
x2[6][1][27] = 0.10000000
x2[6][1][28] = 0.10000000
x2[6][1][29] = 0.10000000
x2[6][1][30] = 0.10000000
x2[6][2][11] = 0.10000000
x2[6][3][12] = 0.10000000
x2[6][3][31] = 0.10000000
x2[6][3][32] = 0.10000000
x2[7][1][8] = 0.10000000
x2[7][1][9] = 0.10000000
x2[7][1][10] = 0.10000000
x2[7][1][25] = 0.10000000
x2[7][1][26] = 0.10000000
x2[7][1][27] = 0.10000000
x2[7][1][28] = 0.10000000
x2[7][1][29] = 0.10000000
x2[7][1][30] = 0.10000000
x2[7][2][11] = 0.10000000
x2[7][3][12] = 0.10000000
x2[7][3][31] = 0.10000000
x2[7][3][32] = 0.10000000
x2[8][1][8] = 0.10000000
x2[8][1][9] = 0.10000000
x2[8][1][10] = 0.10000000
x2[8][1][25] = 0.10000000
x2[8][1][26] = 0.10000000
x2[8][1][27] = 0.10000000
x2[8][1][28] = 0.10000000
x2[8][1][29] = 0.10000000
x2[8][1][30] = 0.10000000
x2[8][2][11] = 0.10000000
x2[8][3][31] = 0.10000000
x2[9][1][8] = 0.10000000
x2[9][1][9] = 0.10000000
x2[9][1][10] = 0.10000000
x2[9][1][25] = 0.10000000
x2[9][1][26] = 0.10000000
x2[9][1][27] = 0.10000000
x2[9][1][28] = 0.10000000
x2[9][1][29] = 0.10000000
x2[9][1][30] = 0.10000000
x2[9][2][11] = 0.10000000
x2[9][3][31] = 0.10000000
x2[10][1][8] = 0.10000000
x2[10][1][9] = 0.10000000
x2[10][1][10] = 0.10000000
x2[10][1][25] = 0.10000000
x2[10][1][26] = 0.10000000
x2[10][1][27] = 0.10000000
x2[10][1][28] = 0.10000000
x2[10][1][29] = 0.10000000
x2[10][1][30] = 0.10000000
x2[10][3][31] = 0.10000000
