t,A,B,C,D
TOTAL,-6772.181722454656,-116318.0077134032,0.0,197.70522924485033
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,2.1947268243669815
6,0.0,-0.0,-0.0,2.1947268243669815
7,0.0,-0.0,-0.0,2.1947268243669815
8,0.0,-0.0,-0.0,2.1947268243669815
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-0.0,-0.0,2.1947268243669815
13,0.0,-0.0,-0.0,2.1947268243669815
14,0.0,-0.0,-0.0,2.1947268243669815
15,0.0,-0.0,-0.0,2.1947268243669815
16,0.0,-0.0,-0.0,2.1947268243669815
17,0.0,-0.0,-0.0,2.1947268243669815
18,0.0,-10387.5945,-0.0,11.280714362683716
19,0.0,-10137.421499999999,-0.0,10.80780835233524
20,0.0,-9974.9715,-0.0,10.334902341986762
21,0.0,-9866.671499999999,-0.0,9.154846618650799
22,0.0,-9866.671499999999,-0.0,8.728651758822219
23,0.0,-9866.671499999999,-0.0,7.650963386458297
24,0.0,-6151.4736462113915,-0.0,4.265597515224143
25,0.0,-6151.4736462113915,-0.0,4.107816926717362
26,0.0,-6151.4736462113915,-0.0,3.6234463722699926
27,0.0,-6151.4736462113915,-0.0,3.4812505144656756
28,7.497760330266931,-6151.4736462113915,-0.0,3.339054656661359
29,489.16704368370745,-6235.07396529767,-0.0,13.07327296621987
30,240.23258480788905,-0.0,-0.0,5.521682203456067
31,0.0,-0.0,-0.0,5.521682203456067
32,0.0,-0.0,-0.0,5.521682203456067
33,0.0,-0.0,-0.0,5.521682203456067
34,-4383.4425,-0.0,-0.0,9.58054585931443
35,-4383.4425,-0.0,-0.0,15.59566827099084
36,-3326.438842837377,-2688.25365830854,-0.0,9.437357906103598
37,-14.487513743081983,-2684.690697860152,-0.0,1.7120577606674579
38,0.0,-2684.690697860152,-0.0,1.6400874810140964
39,0.0,-2681.7639803489765,-0.0,1.5932049966088166
40,0.0,-2679.8552515373403,-0.0,1.5463225122035371
41,0.0,-2679.3462571875707,-0.0,1.4994400277982574
42,0.0,-537.4241392391407,-0.0,0.684325521636314
43,0.0,-533.19655710935,-0.0,0.6629888417708739
44,54.52685712226087,-516.1124923382782,-0.0,0.5782731604541835
45,54.47868852056259,-516.0545802543085,-0.0,0.5782731604541835
46,52.16659563905347,-513.2748002237612,-0.0,0.5782731604541835
47,4437.560104022063,-510.90040478100207,-0.0,0.5782731604541835
