t,A,B,C,D
TOTAL,-6792.070207576454,-126508.03877952212,0.0,178.70554981437203
0,0.0,-1074.89284487291,-0.0,2.6425770556884647
1,0.0,-1074.162618755469,-0.0,2.6275957605790285
2,0.0,-1072.2153491089603,-0.0,2.5969667024491825
3,0.0,-1072.2153491089603,-0.0,2.5663376443193373
4,0.0,-1072.3979056383205,-0.0,2.5357085861894912
5,0.0,-1074.6494361670964,-0.0,2.505079528059646
6,0.0,-0.0,-0.0,2.010952475587906
7,0.0,-0.0,-0.0,2.0109524755879065
8,0.0,-0.0,-0.0,2.0109524755879065
9,0.0,-0.0,-0.0,2.0109524755879065
10,0.0,-0.0,-0.0,2.0109524755879065
11,0.0,-0.0,-0.0,2.0109524755879065
12,0.0,-0.0,-0.0,2.0109524755879065
13,0.0,-0.0,-0.0,2.0109524755879065
14,0.0,-0.0,-0.0,2.0109524755879065
15,0.0,-0.0,-0.0,2.0109524755879065
16,0.0,-0.0,-0.0,2.0109524755879065
17,0.0,-0.0,-0.0,2.0109524755879065
18,0.0,-16098.795,-0.0,8.082208399879104
19,0.0,-16072.261499999999,-0.0,7.6093023895306295
20,0.0,-16072.261499999999,-0.0,7.3458407691355765
21,0.0,-16072.261499999999,-0.0,6.919645909306995
22,0.0,-16072.261499999999,-0.0,6.493451049478415
23,0.0,-16072.261499999999,-0.0,6.364118868275227
24,0.053136970291057566,-3332.1419720630356,-0.0,2.8674390051162453
25,0.0,-3332.1419720630356,-0.0,2.764420748619684
26,0.0,-3332.1419720630356,-0.0,2.7924082842554956
27,7.598800897300556,-3332.1419720630356,-0.0,2.667075443603186
28,10.248953777710836,-3344.2176289398267,-0.0,8.861922942672209
29,107.78917207057742,-3350.3786783667606,-0.0,8.86192294267221
30,106.1791611370838,-0.0,-0.0,5.521682203456067
31,0.0,-0.0,-0.0,5.521682203456067
32,0.0,-0.0,-0.0,5.521682203456067
33,0.0,-0.0,-0.0,5.521682203456067
34,0.0,-0.0,-0.0,5.521682203456067
35,0.0,-0.0,-0.0,5.521682203456067
36,-3388.220768815112,-0.0,-0.0,9.58054585931443
37,-4061.25,-0.0,-0.0,10.862909467082131
38,-3790.5,-0.0,-0.0,7.4917290174838795
39,0.0,-0.0,-0.0,0.08264537431797017
40,0.0,-0.0,-0.0,0.08264537431797017
41,0.0,-0.0,-0.0,0.08264537431797012
42,0.0,-614.6267615892585,-0.0,1.0881314290578588
43,0.0,-610.2525930305028,-0.0,1.0468087418988734
44,104.29597706090782,-600.9434650721254,-0.0,1.0054860547398885
45,97.29937752641025,-592.5316024591338,-0.0,1.0054860547398885
46,93.66114576847164,-588.157433900378,-0.0,1.0054860547398885
47,3920.774836029905,-577.7267242602684,-0.0,1.0054860547398885
