t,A,B,C,D
TOTAL,-5911.367361763823,0.0,-70037.32087327796,163.50803179844505
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,2.1947268243669815
6,0.0,-0.0,-0.0,2.1947268243669815
7,0.0,-0.0,-0.0,2.1947268243669815
8,0.0,-0.0,-0.0,2.1947268243669815
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-0.0,-0.0,2.1947268243669815
13,0.0,-0.0,-0.0,2.1947268243669815
14,0.0,-0.0,-0.0,2.1947268243669815
15,0.0,-0.0,-0.0,2.1947268243669815
16,0.0,-0.0,-0.0,2.1947268243669815
17,0.0,-0.0,-0.0,2.1947268243669815
18,0.0,-0.0,-6824.5245,8.246009036774268
19,0.0,-0.0,-6574.351500000001,7.928165104074678
20,0.0,-0.0,-6411.9015,7.455259093726201
21,0.0,-0.0,-6303.601500000001,7.207013054058489
22,0.0,-0.0,-6303.601500000001,6.780818194229907
23,0.0,-0.0,-6303.601500000001,6.623101408772973
24,0.0,-0.0,-3774.8759464342534,3.381073217845894
25,0.009590014913119827,-0.0,-3774.8759464342534,3.223292629339113
26,0.0,-0.0,-3774.8759464342534,3.07201844835621
27,0.0,-0.0,-3774.8759464342534,3.105380354368233
28,7.488170315353811,-0.0,-3774.8759464342534,2.9631844965639162
29,298.29416252007945,-0.0,-3858.4762655205313,8.867545468255873
30,240.23258480788905,-0.0,-849.1298240032608,5.521682203456067
31,110.17892873665457,-0.0,-850.1478127028,5.521682203456067
32,119.81032404408684,-0.0,-861.7274341600602,5.521682203456067
33,0.0,-0.0,-913.5176092491247,5.521682203456067
34,-3353.36518465362,-0.0,-923.6974962445181,9.58054585931443
35,-3353.36518465362,-0.0,-923.6974962445181,10.430967110605279
36,-3883.2109657230276,-0.0,-475.22656105564533,7.741611873943185
37,-581.0019639613134,-0.0,-473.60502270449274,1.4956576823574914
38,0.0,-0.0,-473.60502270449274,0.6239434617458314
39,0.0,-0.0,-472.2730447731889,0.6026067818803913
40,0.0,-0.0,-471.4043635136428,0.5812701020149513
41,0.0,-0.0,-471.17271517776385,0.5599334221495111
42,0.0,-0.0,-78.01482303177934,0.2557030236367739
43,0.0,-0.0,-76.09080881511723,0.24599249072762186
44,24.815709091458576,-0.0,-68.31568287107166,0.2362819578184698
45,24.793787086960986,-0.0,-68.2893265119393,0.2362819578184698
46,23.741530871068743,-0.0,-67.02422127358611,0.2362819578184698
47,4410.2111497392925,-0.0,-65.94361054915944,0.2362819578184698
