t,A,B,C,D
TOTAL,-6456.173130135472,-128390.15890963789,0.0,212.77064845577934
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,4668.421052631577,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,-2962.0049999999997,-0.0,-0.0,9.58054585931443
9,0.0,-0.0,-0.0,3.6858238761837603
10,-1985.5,-0.0,-0.0,11.471753870164605
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-1115.2378378615163,-0.0,3.115826146758549
13,0.0,-1105.0755243937979,-0.0,3.0851970886287035
14,0.0,-1074.6494361670964,-0.0,3.0545680304988574
15,0.0,-1056.454635407529,-0.0,3.023938972369012
16,0.0,-1056.454635407529,-0.0,2.993309914239166
17,0.0,-1056.454635407529,-0.0,2.962680856109321
18,0.0,-12476.701500000001,-0.0,10.961851648139666
19,0.0,-12476.701500000001,-0.0,10.488945637791192
20,0.0,-12476.701500000001,-0.0,9.293674333727889
21,0.0,-12476.701500000001,-0.0,8.867479473899307
22,0.0,-12476.701500000001,-0.0,7.776078435268952
23,0.0,-12476.701500000001,-0.0,7.391980845960552
24,0.0,-5855.707817335242,-0.0,3.6935758393549394
25,0.0,-5855.707817335242,-0.0,3.266984842259717
26,0.0,-5855.707817335242,-0.0,3.141652001607407
27,0.0,-5855.707817335242,-0.0,3.0163191609550974
28,0.0,-5855.707817335242,-0.0,2.8909863203027877
29,0.0254007691147646,-5855.707817335242,-0.0,2.765653479650478
30,0.09328799379329845,-1408.8187504238456,-0.0,1.119939983754964
31,8.912893369660205,-1408.8187504238456,-0.0,1.119939983754964
32,9.328799379329906,-1419.9224090729947,-0.0,5.521682203456067
33,73.41765111532543,-1496.9750706079983,-0.0,5.521682203456067
34,82.74645049465626,-1508.1908874253206,-0.0,5.521682203456067
35,443.92829302012854,-1533.538633432469,-0.0,5.521682203456067
36,-324.73105378732305,-343.37490994656474,-0.0,5.521682203456067
37,-3648.990514344814,-352.6139256594127,-0.0,9.58054585931443
38,-3648.9905143448136,-352.6139256594127,-0.0,15.045563694418334
39,-3469.9741786276286,-348.88769280284976,-0.0,9.276199803547843
40,0.0,-343.01759994662035,-0.0,0.6031713080952285
41,0.0,-337.30063994751004,-0.0,0.5843649466518125
42,21.42840007482947,-179.55051760543296,-0.0,0.2573912758851966
43,83.93595123990886,-179.01621020409706,-0.0,0.2573912758851966
44,0.0,-181.38574737523876,-0.0,0.28306815619404374
45,0.0,-180.2706710594074,-0.0,0.2745091960910946
46,0.0,-180.2706710594074,-0.0,0.2659502359881457
47,4191.779950880782,-176.80928832901412,-0.0,0.23196752916325966
