t,A,B,C,D
TOTAL,-7890.446927819068,-181018.6390681542,0.0,0.0
0,0.0,-0.0,-0.0,0.0
1,0.0,-0.0,-0.0,0.0
2,0.0,-0.0,-0.0,0.0
3,0.0,-0.0,-0.0,0.0
4,0.0,-0.0,-0.0,0.0
5,0.0,-0.0,-0.0,0.0
6,0.0,-0.0,-0.0,0.0
7,0.0,-0.0,-0.0,0.0
8,0.0,-0.0,-0.0,0.0
9,0.0,-0.0,-0.0,0.0
10,0.0,-0.0,-0.0,0.0
11,0.0,-0.0,-0.0,0.0
12,0.0,-18738.066000000003,-0.0,0.0
13,0.0,-18707.200500000003,-0.0,0.0
14,0.0,-18654.675000000003,-0.0,0.0
15,0.0,-18657.3825,-0.0,0.0
16,0.0,-18608.647500000003,-0.0,0.0
17,0.0,-18523.632,-0.0,0.0
18,0.0,-0.0,-0.0,0.0
19,0.0,-0.0,-0.0,0.0
20,315.7894736842105,-0.0,-0.0,0.0
21,-541.5,-0.0,-0.0,0.0
22,0.0,-0.0,-0.0,0.0
23,0.0,-0.0,-0.0,0.0
24,0.0,-0.0,-0.0,0.0
25,7.965526315789476,-0.0,-0.0,0.0
26,0.0,-0.0,-0.0,0.0
27,-2160.585,-0.0,-0.0,0.0
28,-2168.7075,-0.0,-0.0,0.0
29,3808.421052631579,-0.0,-0.0,0.0
30,0.0,-0.0,-0.0,0.0
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,0.0,-0.0,-0.0,0.0
35,-2576.5376568789725,-0.0,-0.0,0.0
36,-2247.104321872018,-11384.182581661877,-0.0,0.0
37,-2292.936869229548,-11393.968572190372,-0.0,0.0
38,-2247.1043218720174,-11384.182581661877,-0.0,0.0
39,-2214.3667880452117,-11377.192588427239,-0.0,0.0
40,0.0,-11327.423836596612,-0.0,0.0
41,0.0,-11351.749013053153,-0.0,0.0
42,0.0,-189.4731467017616,-0.0,0.0
43,129.8164611481894,-167.07739531189588,-0.0,0.0
44,137.59136153472812,-165.42316367514445,-0.0,0.0
45,116.42345976015439,-139.97344618666068,-0.0,0.0
46,110.17892873665537,-132.46577952755797,-0.0,0.0
47,3932.2092662673926,-115.92346316004353,-0.0,0.0
