t,A,B,C,D
TOTAL,1380.6094575175775,0.0,-132274.46661538968,315.07303111277804
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,4221.123360548612,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,5.521682203456067
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,0.0,-0.0,-0.0,5.521682203456067
9,0.0,-0.0,-0.0,5.521682203456067
10,0.0,-0.0,-0.0,5.521682203456067
11,0.0,-0.0,-0.0,5.521682203456067
12,0.0,-0.0,-1144.81199561787,5.521682203456067
13,0.0,-0.0,-1143.4732477358953,5.521682203456067
14,0.0,-0.0,-1143.1689868536282,5.521682203456067
15,0.0,-0.0,-1143.4732477358953,5.521682203456067
16,0.0,-0.0,-1147.063526146646,5.521682203456067
17,-2694.031050978677,-0.0,-1157.469248320178,9.58054585931443
18,0.0,-0.0,-13678.29,15.203080297566151
19,0.0,-0.0,-13670.1675,14.620832189666295
20,0.0,-0.0,-13599.7725,13.149198418919706
21,0.0,-0.0,-13599.231,12.62446169470472
22,0.0,-0.0,-13564.575,11.280714362683716
23,0.0,-0.0,-13564.575,10.80780835233524
24,4320.202035137989,-0.0,-5844.61792836676,5.90536719082062
25,182.6363563188063,-0.0,-5848.31455802292,12.635059399428492
26,203.13426387422516,-0.0,-5872.958755730657,12.63505939942849
27,228.34669016739463,-0.0,-5903.271118911172,12.635059399428494
28,25.532076317648745,-0.0,-5918.057637535814,12.635059399428492
29,0.0,-0.0,-5938.0194376790805,12.403041751749527
30,0.0,-0.0,-835.6905110586798,7.386314698208771
31,0.0,-0.0,-837.2607254131049,7.300738115860198
32,0.0,-0.0,-840.0646796174354,7.215161533511624
33,0.0,-0.0,-843.4294246626321,6.8753861549553825
34,0.0,-0.0,-842.0835266445534,6.798262374076
35,0.0,-0.0,-845.5604298579233,6.721138593196616
36,-915.646337408817,-0.0,-0.0,7.064877709003914
37,-1248.1575,-0.0,-0.0,7.049706281922017
38,-4091.0325,-0.0,-0.0,13.326103525476553
39,-2447.7410765578397,-0.0,-0.0,5.488822278339391
40,0.0,-0.0,-0.0,0.01880636144341591
41,0.0,-0.0,-0.0,0.018806361443415878
42,0.0,-0.0,-568.6333427686534,0.5843649466518125
43,44.324360191382006,-0.0,-560.6704341984639,0.5096957041635529
44,44.23944762396557,-0.0,-560.5683456270513,0.5096957041635529
45,41.47978918293132,-0.0,-557.250467056139,0.5096957041635529
46,38.29556790481479,-0.0,-553.4221456281633,0.5096957041635529
47,3427.9039751951414,-0.0,-548.5218942003545,0.5096957041635529
