t,A,B,C,D
TOTAL,-1969.8558857443404,0.0,-104520.01638044491,213.15427799559518
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,4142.105263157894,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,0.0,-0.0,-0.0,5.521682203456067
9,0.0,-0.0,-0.0,5.521682203456067
10,0.0,-0.0,-0.0,5.521682203456067
11,-1505.2772277941483,-0.0,-0.0,7.621912495066519
12,0.0,-0.0,-6089.343780529237,10.980356553501364
13,0.0,-0.0,-6084.497951125045,10.559795778855237
14,584.7379796586869,-0.0,-6084.497951125045,10.115061075321451
15,301.9802715734682,-0.0,-6096.053390473502,10.559795778855237
16,364.60862358357144,-0.0,-6171.350124292485,10.559795778855237
17,412.81198092071173,-0.0,-6219.808418334405,10.559795778855236
18,0.0,-0.0,-6975.416170438006,10.558098412880314
19,-1529.5804552070922,-0.0,-7044.523841030393,11.57225131756538
20,-1498.9888461029495,-0.0,-7031.148162851221,9.904303483142584
21,-1498.988846102952,-0.0,-7031.148162851221,8.462739030182354
22,-1498.9888461029502,-0.0,-7031.148162851221,7.431323773053252
23,-1498.9888461029502,-0.0,-7031.148162851221,6.484670456558451
24,0.0,-0.0,-3043.7013621658457,1.7356509966730076
25,9100.06953016201,-0.0,-3026.791910153813,1.6733511208009342
26,-1553.4748596259676,-0.0,-3114.5519660962614,7.621912495066519
27,-3284.6163325387365,-0.0,-3139.0706715137085,11.903465044664173
28,-3284.6163325387365,-0.0,-3139.0706715137085,9.067175187434973
29,-3284.6163325387365,-0.0,-3139.0706715137085,6.964379726096425
30,-403.25353103870316,-0.0,-0.0,0.5752710381560829
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,0.0,-0.0,-0.0,0.0
35,0.0,-0.0,-0.0,0.0
36,0.0,-0.0,-0.0,0.0
37,0.0,-0.0,-0.0,0.0
38,0.0,-0.0,-0.0,0.0
39,0.0,-0.0,-0.0,0.0
40,0.0,-0.0,-0.0,0.0
41,0.0,-0.0,-0.0,0.0
42,64.00893520876782,-0.0,-1175.8965362315894,0.6899075552398531
43,62.984792245427606,-0.0,-1174.6652309580484,0.6899075552398531
44,61.12853312437328,-0.0,-1172.4334901497555,0.6899075552398531
45,60.10439016103299,-0.0,-1171.2021848762145,0.6899075552398531
46,57.99209529914366,-0.0,-1168.6626177495364,0.6899075552398531
47,3659.002174854495,-0.0,-1164.814788769721,0.6899075552398531
