t,A,B,C,D
TOTAL,713.8950205922538,-152438.93217356259,0.0,280.1509082290712
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,2197.8657894736843,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,4.058177740609274
5,0.0,-0.0,-0.0,4.058177740609274
6,0.0,-0.0,-0.0,4.058177740609274
7,0.0,-0.0,-0.0,4.058177740609274
8,0.0,-0.0,-0.0,4.058177740609272
9,0.0,-0.0,-0.0,4.058177740609274
10,0.0,-0.0,-0.0,4.058177740609274
11,0.0,-0.0,-0.0,4.058177740609274
12,0.0,-13782.799500000001,-0.0,17.2501076827213
13,0.0,-13770.886500000002,-0.0,15.595668270990886
14,798.099473684211,-13768.179000000002,-0.0,15.013420163091027
15,401.301710526315,-13770.886500000002,-0.0,15.595668270990886
16,0.0,-13802.835000000001,-0.0,15.595668270990886
17,0.0,-13895.431500000002,-0.0,15.013420163091027
18,-1649.9717048710643,-8074.8401846545585,-0.0,14.431172055191169
19,-1630.3291845749784,-8070.646188713776,-0.0,10.69753127359792
20,-814.648038898833,-8034.298223893655,-0.0,6.405207923126431
21,0.0,-8034.01862416427,-0.0,3.4812505144656747
22,0.0,-8016.124241483594,-0.0,3.339054656661358
23,0.0,-8016.124241483594,-0.0,3.1968587988570416
24,7642.777956720197,-2124.542415938624,-0.0,1.459853818580156
25,94.30300240572453,-2126.4511447502605,-0.0,5.521682203456067
26,104.88695329301243,-2139.1760034945023,-0.0,5.521682203456067
27,117.90521288437387,-2154.82757974992,-0.0,5.521682203456067
28,124.2555834167487,-2162.462494996465,-0.0,5.521682203456067
29,0.0,-2172.769630579301,-0.0,5.521682203456067
30,0.0,-0.0,-0.0,5.521682203456067
31,0.0,-0.0,-0.0,5.521682203456067
32,0.0,-0.0,-0.0,5.521682203456067
33,0.0,-0.0,-0.0,5.521682203456067
34,0.0,-0.0,-0.0,5.521682203456067
35,0.0,-0.0,-0.0,5.521682203456067
36,-185.48424412019168,-895.4366423400423,-0.0,5.521682203456067
37,-3344.0104393492825,-895.494554424012,-0.0,9.58054585931443
38,-3653.5067056086527,-902.9073011721381,-0.0,14.609207501725898
39,-2987.8244383741167,-895.5524665079818,-0.0,8.397400147700674
40,0.0,-888.8925768514623,-0.0,0.6940360545454661
41,0.0,-887.6764230880979,-0.0,0.6726993746800259
42,0.0,-531.3442001083348,-0.0,0.30173274412972395
43,22.886572695656294,-527.2326080836871,-0.0,0.26317780416085784
44,22.842728686660784,-527.1798953654223,-0.0,0.26317780416085784
45,21.417798394306704,-525.4667320218191,-0.0,0.26317780416085784
46,19.77364805697494,-523.4900050868922,-0.0,0.26317780416085784
47,3411.3533461515062,-520.9597946101859,-0.0,0.26317780416085784
