t,A,B,C,D
TOTAL,-9094.140945581355,0.0,-107493.94907929524,0.0
0,0.0,-0.0,-0.0,0.0
1,0.0,-0.0,-0.0,0.0
2,0.0,-0.0,-0.0,0.0
3,0.0,-0.0,-0.0,0.0
4,0.0,-0.0,-0.0,0.0
5,0.0,-0.0,-0.0,0.0
6,0.0,-0.0,-0.0,0.0
7,0.0,-0.0,-0.0,0.0
8,0.0,-0.0,-0.0,0.0
9,0.0,-0.0,-0.0,0.0
10,0.0,-0.0,-0.0,0.0
11,0.0,-0.0,-0.0,0.0
12,0.0,-0.0,-10225.685999999998,0.0
13,0.0,-0.0,-10194.820499999998,0.0
14,0.0,-0.0,-10142.294999999998,0.0
15,0.0,-0.0,-10145.002499999999,0.0
16,0.0,-0.0,-10096.267499999998,0.0
17,0.0,-0.0,-10011.251999999999,0.0
18,0.0,-0.0,-4774.724578716941,0.0
19,0.0,-0.0,-4786.747367080519,0.0
20,152.73379245630886,-0.0,-4674.907475326302,0.0
21,-261.9002706144556,-0.0,-4702.867448264857,0.0
22,0.0,-0.0,-4660.927488857024,0.0
23,0.0,-0.0,-4660.927488857024,0.0
24,0.0,-0.0,-1952.120579954137,0.0
25,8.830471879558033,-0.0,-1952.120579954137,0.0
26,31.751852661860212,-0.0,-1990.16790759942,0.0
27,-1652.8631361047699,-0.0,-2053.537704145744,0.0
28,-1659.0769072931153,-0.0,-2053.9194499080713,0.0
29,3313.982852174286,-0.0,-2028.7242295944727,0.0
30,90.06942205080983,-0.0,-734.962257659903,0.0
31,50.28802017282684,-0.0,-746.1392898660617,0.0
32,55.0567117409399,-0.0,-751.8725861790655,0.0
33,67.43604237735255,-0.0,-766.7559917592873,0.0
34,69.65179805546701,-0.0,-769.4199476218951,0.0
35,0.0,-0.0,-779.4387381486592,0.0
36,-4419.932438644601,-0.0,-185.9704700379163,0.0
37,-4510.082575796225,-0.0,-186.89294260754883,0.0
38,-4322.395305657947,-0.0,-185.9704700379163,0.0
39,0.0,-0.0,-185.31156105960736,0.0
40,0.0,-0.0,-180.6201291340477,0.0
41,0.0,-0.0,-182.9131323785628,0.0
42,0.0,-0.0,-125.33615546085376,0.0
43,13.099695838582265,-0.0,-123.22502871560442,0.0
44,12.969995879784321,-0.0,-123.06909321737578,0.0
45,10.974611898279125,-0.0,-120.67008555231972,0.0
46,10.385973623734984,-0.0,-119.96237829112819,0.0
47,3844.878447719967,-0.0,-118.40302330884175,0.0
