t,A,B,C,D
0,0.0,-10169.0199,-0.0,0.0
1,0.0,-10166.1384,-0.0,0.0
2,0.0,-10162.6503,-0.0,0.0
3,0.0,-10157.949,-0.0,0.0
4,0.0,-10158.8589,-0.0,0.0
5,0.0,-10162.6503,-0.0,0.0
6,0.0,-21949.0419,-0.0,0.0001
7,0.0,-21951.5421,-0.0,0.0001
8,0.0,-21954.32,-0.0,0.0001
9,0.0,-21965.4319,-0.0,0.0001
10,0.0,-21973.2103,-0.0,0.0001
11,0.0,-21965.4319,-0.0,0.0001
12,0.0,-79126.2125,-0.0,0.0001
13,0.0,-79114.4626,-0.0,0.0001
14,38.3157,-79111.7922,-0.0,0.0001
15,0.0,-79114.4626,-0.0,0.0001
16,0.0,-79145.9736,-0.0,0.0001
17,-41.5642,-79237.302,-0.0,0.0001
18,0.0,-90419.67,-0.0,0.0001
19,0.0,-90411.5475,-0.0,0.0001
20,0.0,-90341.1525,-0.0,0.0001
21,0.0,-90340.611,-0.0,0.0001
22,0.0,-90305.955,-0.0,0.0
23,0.0,-90305.955,-0.0,0.0
24,6164.4126,-23608.1556,-0.0,0.0
25,182.6364,-23611.8523,-0.0,0.0001
26,203.1343,-23636.4965,-0.0,0.0001
27,228.3467,-23666.8088,-0.0,0.0001
28,240.6454,-23681.5953,-0.0,0.0001
29,0.0,-23701.5571,-0.0,0.0001
30,0.0,-0.0,-0.0,0.0
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,0.0,-0.0,-0.0,0.0
35,0.0,-0.0,-0.0,0.0
36,-409.3438,-9630.1246,-0.0,0.0
37,-2968.8988,-9630.2368,-0.0,0.0001
38,-3243.6775,-9644.593,-0.0,0.0001
39,-2971.0455,-9630.349,-0.0,0.0001
40,0.0,-9617.4508,-0.0,0.0
41,0.0,-9615.0954,-0.0,0.0
42,0.0,-5868.0511,-0.0,0.0
43,0.0,-5860.0882,-0.0,0.0
44,0.0,-5859.9861,-0.0,0.0
45,0.0,-5856.6682,-0.0,0.0
46,0.0,-5852.8399,-0.0,0.0
47,7701.5463,-5847.9396,-0.0,0.0
